name,is_private,accept,enroll,fail,pass,graduation_rate
Abilene Christian University,Yes,1232,721,2885,537,60
Adelphi University,Yes,1924,512,2683,1227,56
Adrian College,Yes,1097,336,1036,99,54
Agnes Scott College,Yes,349,137,510,63,59
Alaska Pacific University,Yes,146,55,249,869,15
Albertson College,Yes,479,158,678,41,55
Albertus Magnus College,Yes,340,103,416,230,63
Albion College,Yes,1720,489,1594,32,73
Albright College,Yes,839,227,973,306,80
Alderson-Broaddus College,Yes,498,172,799,78,52
Alfred University,Yes,1425,472,1830,110,73
Allegheny College,Yes,1900,484,1707,44,76
Allentown Coll. of St. Francis de Sales,Yes,780,290,1130,638,74
Alma College,Yes,1080,385,1306,28,68
Alverno College,Yes,313,157,1317,1235,55
American International College,Yes,1093,220,1018,287,69
Amherst College,Yes,992,418,1593,5,100
Anderson University,Yes,908,423,1819,281,59
Andrews University,Yes,704,322,1586,326,46
Angelo State University,No,2001,1016,4190,1512,34
Antioch University,Yes,661,252,712,23,48
Appalachian State University,No,4664,1910,9940,1035,70
Aquinas College,Yes,516,219,1251,767,65
Arizona State University Main campus,No,10308,3761,22593,7585,48
Arkansas College (Lyon College),Yes,334,166,530,182,54
Arkansas Tech University,No,1729,951,3602,939,48
Assumption College,Yes,1700,491,1708,689,88
Auburn University-Main Campus,No,6791,3070,16262,1716,69
Augsburg College,Yes,513,257,2074,726,58
Augustana College IL,Yes,1658,497,1950,38,71
Augustana College,Yes,725,306,1337,300,69
Austin College,Yes,798,295,1120,15,71
Averett College,Yes,556,172,777,538,48
Baker University,Yes,483,206,958,466,65
Baldwin-Wallace College,Yes,1366,662,2718,1460,85
Barat College,Yes,192,111,453,266,71
Bard College,Yes,838,285,1004,15,79
Barnard College,Yes,1402,531,2121,69,91
Barry University,Yes,784,279,1811,3144,72
Baylor University,Yes,5349,2367,9919,484,72
Beaver College,Yes,850,348,878,519,73
Bellarmine College,Yes,707,308,1198,605,84
Belmont Abbey College,Yes,494,129,709,131,52
Belmont University,Yes,974,481,1964,623,49
Beloit College,Yes,923,284,1085,81,69
Bemidji State University,No,877,546,3796,824,46
Benedictine College,Yes,620,222,702,501,58
Bennington College,Yes,327,114,457,2,55
Bentley College,Yes,2330,640,3095,1533,82
Berry College,Yes,1221,480,1620,49,63
Bethany College,Yes,816,200,706,62,48
Bethel College KS,Yes,184,122,537,101,56
Bethel College,Yes,384,104,347,74,35
Bethune Cookman College,Yes,1150,542,2128,82,58
Birmingham-Southern College,Yes,588,287,1376,207,72
Blackburn College,Yes,336,156,421,27,51
Bloomsburg Univ. of Pennsylvania,No,3028,1025,5847,946,75
Bluefield College,Yes,358,181,653,129,53
Bluffton College,Yes,514,209,760,81,58
Boston University,Yes,13007,3810,14971,3113,72
Bowdoin College,Yes,1019,418,1490,8,96
Bowling Green State University,No,7333,3076,13699,1213,67
Bradford College,Yes,330,151,453,42,46
Bradley University,Yes,3414,1061,4531,643,85
Brandeis University,Yes,2743,740,2819,62,84
Brenau University,Yes,274,158,917,479,49
Brewton-Parker College,Yes,1228,1202,1320,822,18
Briar Cliff College,Yes,351,155,738,430,58
Bridgewater College,Yes,673,292,881,55,82
Brigham Young University at Provo,Yes,5402,4615,27378,1253,33
Brown University,Yes,3239,1462,5643,349,97
Bryn Mawr College,Yes,810,313,1088,16,89
Bucknell University,Yes,3813,862,3316,31,93
Buena Vista College,Yes,688,285,1928,442,78
Butler University,Yes,2037,700,2607,148,83
Cabrini College,Yes,494,224,1035,446,71
Caldwell College,Yes,604,213,693,868,55
California Lutheran University,Yes,247,247,1427,432,60
California Polytechnic-San Luis,No,3817,1650,12911,1404,59
California State University at Fresno,No,3294,1483,13494,1254,61
Calvin College,Yes,1512,913,3401,136,81
Campbell University,Yes,1339,657,3191,1204,63
Campbellsville College,Yes,587,298,935,184,49
Canisius College,Yes,2193,753,2978,434,64
Capital University,Yes,1382,449,1662,960,83
Capitol College,Yes,90,35,282,331,52
Carleton College,Yes,1579,489,1870,12,91
Carnegie Mellon University,Yes,5201,1191,4265,291,74
Carroll College,Yes,991,352,1357,737,79
Carson-Newman College,Yes,951,464,1776,239,67
Carthage College,Yes,1427,434,1405,580,62
Case Western Reserve University,Yes,3156,713,3051,513,67
Castleton State College,No,940,363,1547,294,79
Catawba College,Yes,880,291,915,80,55
Catholic University of America,Yes,1465,505,2159,211,75
Cazenovia College,Yes,3433,527,1010,12,118
Cedar Crest College,Yes,607,198,791,764,74
Cedarville College,Yes,1090,616,2196,82,64
Centenary College,Yes,312,90,396,526,24
Centenary College of Louisiana,Yes,434,210,775,44,66
Center for Creative Studies,Yes,396,203,525,323,47
Central College,Yes,1113,401,1355,40,67
Central Connecticut State University,No,2532,902,6394,3881,49
Central Missouri State University,No,4101,1436,8094,1596,50
Central Washington University,No,2011,1007,6507,898,51
Central Wesleyan College,Yes,146,88,1047,33,58
Centre College,Yes,888,288,943,7,74
Chapman University,Yes,771,351,1662,209,47
Chatham College,Yes,197,91,471,148,52
Chestnut Hill College,Yes,254,126,518,232,73
Christendom College,Yes,72,51,139,3,58
Christian Brothers University,Yes,520,224,1068,364,63
Christopher Newport University,No,766,428,2910,1749,48
Claflin College,Yes,697,499,959,13,21
Claremont McKenna College,Yes,767,227,887,1,87
Clark University,Yes,2059,457,1928,296,79
Clarke College,Yes,340,167,604,350,74
Clarkson University,Yes,1953,557,2332,53,77
Clemson University,No,5257,2301,11755,770,73
Clinch Valley Coll. of  the Univ. of Virginia,No,561,250,1125,422,46
Coe College,Yes,742,275,1127,205,67
Coker College,Yes,452,295,690,222,75
Colby College,Yes,1319,456,1720,35,91
Colgate University,Yes,2492,727,2649,25,93
College Misericordia,Yes,888,317,1121,493,96
College of Charleston,No,3140,1265,6851,1200,51
College of Mount St. Joseph,Yes,620,238,1165,1232,100
College of Mount St. Vincent,Yes,648,177,707,432,83
College of Notre Dame,Yes,264,97,500,331,43
College of Notre Dame of Maryland,Yes,356,177,667,1983,75
College of Saint Benedict,Yes,864,511,1715,103,72
College of Saint Catherine,Yes,411,186,1692,562,77
College of Saint Elizabeth,Yes,359,122,493,968,78
College of Saint Rose,Yes,664,249,1698,894,64
College of Santa Fe,Yes,447,189,873,683,80
College of St. Joseph,Yes,118,55,201,173,76
College of St. Scholastica,Yes,596,278,1350,275,72
College of the Holy Cross,Yes,1691,659,2675,22,95
College of William and Mary,No,3106,1217,5186,134,93
College of Wooster,Yes,1883,553,1704,1,69
Colorado College,Yes,1577,490,1892,7,84
Colorado State University,No,6312,2194,15646,1829,59
Columbia College MO,Yes,158,132,690,5346,37
Columbia College,Yes,614,242,968,237,76
Columbia University,Yes,1930,871,3376,55,99
Concordia College at St. Paul,Yes,266,139,1049,181,45
Concordia Lutheran College,Yes,216,106,534,172,42
